HealthCare,1,laugh,15000,18% decrease in blood pressure patients 
Education,2,Awareness,25000,Parents are made aware to send their children to school
Tourism,3,tour,19000,Welfare and safety of tourists
Automobile,4,alternate fuel,18000,Research on alternate fuel can lead to less emission of green house gases
Industries,5,Air purifier,10000,Air purifiers applied on chimneys of industries can lead to severe decrease of CFC gases
Infrastructure,6,Solar Panel,15000,Electricity consumption reduced by 20%
HealthCare,1,Marathon,12000,30% decrease in obesity
Education,2,Nutrition Seminar,25000,20% decrease in number of patients recording deficiency
Tourism,3,Eco -tourism,18999,Revenue increases by 30%
Automobile,4,Vehicle Management System,13567,Pollution decreases by 50%
Industries,5,Waste Disposal Plants,12345,Environment grows cleaner by 12%
Infrastructure,6,New Chimney installation,15000,Air pollution decreases by 14%
HealthCare,1,Flu Vaccination Drive,12346,Flu outbreak decreases by 80%
Education,2,Atheletic Game sessions,7894,Obesity in children decreases by 10%
Tourism,3,Tree Plantation,15000,Trees present grows by 30%
Automobile,4,New fuel research,18000,Research and clinical trials in progress to decrease pollution by 10%
Industries,5,Waste Recycle,10000,Recycle generates revenue of 10%
Infrastructure,6,Rain Water Recycling,15000,Water availablity increases by 30% in summers
